193,263,193,193,193,193,193,193,193,193,193,153,153,153,263,193,193,193,263,193
263,193,263,263,263,263,263,17,17,219,219,263,263,263,153,296,168,263,193,263
132,278,17,278,17,17,17,263,219,308,308,59,130,193,193,153,263,168,219,219
331,17,219,17,219,219,219,219,308,17,17,130,59,219,211,263,296,157,168,132
202,331,132,219,278,202,202,308,202,263,263,219,165,130,132,258,157,258,202,278
278,308,278,308,202,157,308,188,263,132,132,165,193,211,227,168,141,211,132,168
308,132,308,132,141,141,157,202,132,188,188,132,211,183,183,157,258,219,258,202
258,258,202,147,308,308,188,165,147,202,202,193,219,132,352,183,219,308,211,258
157,202,147,202,132,278,278,141,188,165,165,224,132,59,219,211,211,183,331,331
183,100,100,141,157,147,41,157,165,100,100,296,70,227,168,202,331,132,157,211
168,147,141,157,183,132,165,100,100,141,141,199,183,352,165,59,308,17,308,157
17,157,183,22,165,100,22,147,141,209,42,39,199,70,17,132,153,278,296,308
219,219,157,165,147,22,147,132,130,42,157,352,42,168,296,219,132,202,278,45
100,45,331,183,188,41,183,183,42,157,147,100,141,199,199,22,100,331,165,296
211,22,23,100,96,344,100,278,157,147,211,141,224,22,59,227,224,296,141,165
45,211,22,211,100,258,132,130,209,211,130,42,155,296,157,303,17,141,17,17
209,141,96,96,22,42,141,296,168,130,209,90,227,165,22,165,183,165,45,183
147,183,211,331,31,165,344,22,211,278,278,10,258,331,331,100,202,153,183,141
41,23,165,42,211,188,42,209,183,168,168,211,134,116,130,278,165,100,100,96
227,165,42,23,258,183,130,42,278,10,10,17,296,141,100,17,352,45,96,100
22,168,258,312,312,96,211,199,96,331,183,45,352,157,278,308,278,41,194,194
23,135,90,188,331,130,168,41,10,183,331,104,100,135,258,331,45,194,336,22
194,227,135,31,41,209,296,211,41,296,296,136,17,49,321,352,22,227,209,227
96,209,194,258,23,224,258,96,296,172,172,278,50,104,147,147,147,96,41,42
42,130,10,130,344,331,199,168,344,258,258,258,22,147,104,141,104,209,104,209
10,10,227,227,42,312,209,344,22,199,199,157,136,326,141,45,135,352,22,336
141,96,31,344,209,199,96,258,258,23,23,255,116,202,20,41,227,31,147,344
296,312,130,45,130,23,331,10,199,312,90,134,336,134,41,104,41,130,44,41
188,188,45,44,227,31,23,312,331,90,96,319,104,20,202,44,31,44,153,104
344,31,344,41,168,211,31,31,312,96,312,155,202,10,116,135,130,303,227,147
165,44,312,209,181,233,10,331,90,22,344,116,344,278,280,130,59,135,188,303
31,296,199,336,199,168,39,90,104,153,31,183,319,155,90,31,44,199,42,130
90,194,188,90,45,296,233,23,31,344,153,336,172,258,31,321,255,22,224,128
336,128,209,10,10,299,312,39,172,31,45,168,31,306,135,16,42,224,128,224
128,224,299,168,336,10,45,336,45,45,41,280,315,321,134,181,344,321,231,188
104,42,168,135,296,39,116,44,116,41,336,147,147,39,297,224,116,344,344,90
135,336,44,19,39,128,104,45,153,336,20,49,168,17,45,199,194,16,16,44
130,49,128,224,233,104,90,321,23,274,274,331,157,297,181,50,321,231,90,153
312,299,296,128,135,181,224,233,336,20,39,188,39,136,155,42,20,104,352,231
199,90,41,299,90,227,128,20,135,116,116,31,306,336,50,336,303,79,135,20
44,344,336,326,299,297,20,104,39,39,224,344,331,100,10,90,341,116,20,16
297,41,224,199,44,336,336,172,20,224,22,227,20,277,255,255,50,42,303,10
50,199,19,181,224,116,299,128,224,104,128,181,341,42,194,116,96,14,255,31
220,121,181,296,128,45,231,153,299,326,44,173,45,344,224,20,155,155,130,255
153,104,14,116,19,20,321,224,326,128,326,341,49,31,42,49,209,20,50,14
49,39,326,233,297,90,19,135,44,44,104,252,90,45,44,319,90,50,199,23
303,250,116,39,104,19,274,19,128,181,181,14,278,319,39,344,231,336,14,50
14,116,50,297,116,44,326,116,274,135,321,44,280,224,319,194,297,312,23,135
121,72,297,280,326,135,181,299,321,321,13,192,181,315,308,209,336,147,299,199
302,134,39,14,348,153,153,274,181,13,227,96,10,255,303,134,199,274,116,299
224,297,231,352,194,321,44,14,19,119,119,41,277,41,326,96,39,188,121,297
181,231,134,20,20,246,227,227,155,299,14,70,326,181,124,39,10,134,326,116
20,50,339,231,153,172,315,181,233,303,299,246,188,56,277,339,274,128,31,134
116,352,155,194,231,231,172,326,227,227,303,297,246,252,336,155,16,255,10,352
195,79,121,348,280,280,297,246,306,194,273,315,321,303,16,297,14,181,59,312
274,32,274,302,172,194,135,315,315,14,194,172,135,44,14,274,326,297,134,19
32,14,280,104,321,326,280,231,14,155,280,19,72,209,49,119,134,59,312,32
231,233,233,274,274,273,302,194,119,273,246,306,255,194,119,10,119,49,297,233
299,13,32,50,155,274,352,280,194,233,233,303,194,50,344,312,72,90,195,59
16,124,153,49,315,155,194,319,273,306,155,158,297,280,312,280,188,299,32,195
250,220,13,321,246,14,246,273,280,210,135,302,44,188,231,79,70,72,119,326
79,19,273,273,49,315,273,306,13,315,306,88,154,341,72,326,339,326,339,339
70,195,104,153,302,232,14,303,348,246,210,321,41,334,136,56,79,339,39,39
341,20,352,250,50,352,348,352,319,348,315,326,124,14,339,341,128,10,13,155
19,274,302,134,32,21,340,155,246,352,195,202,96,173,70,72,181,23,252,321
72,326,250,32,232,302,303,297,303,280,348,218,14,72,351,32,49,70,155,13
124,302,49,261,273,32,119,348,210,19,352,277,252,37,188,188,233,233,233,252
102,255,79,155,21,119,195,341,352,195,19,50,302,210,306,14,13,341,321,340
56,303,172,195,352,348,319,119,195,50,250,209,308,246,220,277,280,280,19,121
34,153,21,172,14,50,232,340,231,250,50,233,220,115,334,23,312,13,79,119
