86,28,90,101,74,1,109,53,141,21,67,109,109,78
9,109,57,9,48,116,118,89,15,109,112,59,116,72
26,56,101,81,46,66,98,78,9,50,85,26,113,115
106,16,92,26,36,36,119,115,101,138,139,84,80,84
101,88,83,100,132,120,95,135,50,9,101,86,67,49
2,141,73,86,123,80,2,34,86,2,137,137,2,89
84,82,19,126,117,74,21,39,26,81,100,2,45,86
12,37,9,89,1,52,23,71,2,118,106,21,37,9
6,101,61,141,29,48,60,21,137,62,12,6,32,26
137,126,107,12,44,132,104,110,112,111,141,81,66,105
71,124,25,95,52,117,12,105,12,106,6,12,78,101
92,43,141,21,68,121,71,64,84,84,94,118,96,39
135,86,69,90,107,102,6,7,57,103,116,9,65,125
81,105,15,20,10,139,101,133,122,18,81,106,51,106
21,18,106,43,80,63,84,98,6,12,51,57,74,117
125,78,26,137,63,54,83,25,59,135,71,18,57,82
18,21,112,72,40,68,122,38,45,101,132,100,52,37
50,98,28,115,102,5,135,134,106,26,27,125,48,135
100,57,137,122,93,46,125,37,109,6,18,135,21,17
73,90,67,53,19,76,137,101,72,125,84,22,132,93
62,135,123,125,120,93,81,104,91,100,26,78,3,127
115,84,88,37,31,44,86,43,103,86,75,108,9,140
122,115,6,2,79,15,106,125,135,104,62,104,112,55
83,87,109,23,15,59,64,55,69,98,109,38,136,133
28,8,58,105,121,85,100,9,19,119,82,43,33,32
104,2,45,135,67,13,28,124,21,137,48,105,41,18
111,137,84,124,51,136,26,18,129,23,74,34,140,60
25,26,87,106,47,51,18,20,108,95,9,69,122,56
35,52,81,109,35,65,72,127,113,71,50,113,6,21
107,9,4,6,116,14,9,72,81,115,68,122,36,104
95,81,62,110,45,123,11,140,92,60,83,98,29,98
79,118,29,77,65,40,62,16,46,72,120,37,16,27
69,106,108,56,94,49,92,81,110,89,56,32,134,38
103,112,86,35,55,67,115,40,18,43,133,8,85,81
110,73,79,84,5,10,88,17,125,20,118,101,81,113
31,49,111,16,85,97,7,130,107,11,123,3,14,97
19,38,12,112,61,41,93,97,90,110,2,52,106,2
61,128,103,18,60,128,50,100,80,39,15,80,137,124
112,42,44,11,134,114,69,77,115,64,30,29,75,67
109,91,75,102,114,47,124,95,123,37,126,46,18,96
29,22,33,92,58,94,89,49,25,16,135,62,54,43
89,110,129,69,41,99,73,126,61,77,54,116,46,110
119,85,2,98,138,3,19,75,43,83,24,36,120,6
17,13,56,39,141,57,27,61,138,19,32,90,56,126
98,100,110,62,69,29,110,119,94,17,29,65,4,130
23,77,100,28,64,70,25,99,11,69,5,134,68,23
138,89,50,55,82,45,43,96,98,134,96,96,5,40
77,119,89,46,14,140,39,86,79,70,59,48,87,20
72,113,104,73,103,134,61,28,67,75,7,61,94,95
141,12,125,111,66,4,17,23,58,124,47,92,121,114
53,6,35,71,112,22,127,102,82,51,49,35,84,15
20,39,31,49,54,64,29,60,10,73,1,1,86,100
16,19,98,104,127,113,55,27,17,78,3,63,44,12
34,50,46,25,27,19,103,122,100,53,38,45,63,141
90,33,21,19,70,27,91,56,96,105,119,133,61,64
60,75,135,79,7,24,22,82,75,112,107,123,107,75
129,116,115,134,17,107,112,13,8,127,14,24,26,13
82,20,59,91,136,55,105,67,56,10,42,33,76,77
55,47,85,10,139,31,30,29,48,80,130,31,114,120
58,80,60,44,128,32,51,93,54,92,41,117,1,11
43,32,18,30,57,127,134,106,35,117,21,91,133,74
123,53,52,127,30,7,77,137,31,88,20,76,12,4
75,17,128,42,50,87,75,114,118,131,64,71,105,14
130,125,36,103,8,60,97,33,47,46,80,73,55,94
133,71,47,38,92,96,58,84,34,102,8,28,118,99
37,7,48,29,99,58,37,108,104,35,88,99,34,116
118,62,32,50,11,79,138,69,63,30,22,132,71,91
39,111,43,138,119,30,20,109,37,79,70,107,135,76
11,104,10,61,25,108,35,129,136,55,11,114,69,128
10,36,8,83,97,82,131,73,116,7,78,44,25,51
45,72,82,33,76,8,102,91,111,44,102,14,125,30
131,130,65,130,131,138,99,4,44,58,115,121,117,134
8,46,37,94,72,61,40,113,71,126,39,70,115,33
30,92,64,4,13,124,8,22,40,99,31,94,47,16
134,83,96,75,16,141,31,35,65,67,16,140,100,112
88,69,17,118,75,56,79,11,95,93,99,95,28,22
127,103,126,7,111,33,130,128,120,140,124,5,129,8
78,59,116,82,140,35,111,31,126,27,77,54,93,62
64,45,138,45,129,131,123,136,62,40,128,85,123,136
40,30,102,40,49,11,90,42,60,61,111,19,110,71
7,79,122,114,37,69,46,14,73,82,73,136,70,3
46,123,76,107,88,88,49,112,68,22,43,72,89,47
47,55,51,119,83,75,114,90,85,90,97,139,101,5
27,95,80,17,113,17,126,87,53,31,140,15,98,70
105,44,23,140,62,112,56,83,32,97,58,128,11,65
67,108,11,27,3,103,82,58,33,49,105,110,126,87
38,35,119,34,28,37,16,10,132,8,114,127,99,88
94,63,93,47,90,42,107,103,52,107,10,25,22,41
91,27,14,58,22,16,113,94,121,45,17,129,43,68
126,68,131,64,73,119,78,46,93,129,63,7,60,54
114,4,68,36,133,129,38,63,36,96,138,83,19,29
56,25,132,129,56,72,140,107,76,63,35,66,127,42
124,40,39,31,124,133,10,57,28,91,79,119,24,132
70,138,118,108,89,91,94,121,29,141,104,4,77,63
41,107,41,67,20,105,117,47,16,47,110,74,82,45
44,93,77,60,98,39,141,92,78,29,19,87,39,121
74,54,95,128,59,90,67,5,41,123,36,58,95,69
57,14,133,70,122,126,129,26,30,133,127,77,62,31
51,11,42,78,23,130,45,2,38,130,91,30,90,25
108,133,38,13,34,25,96,118,14,114,23,42,104,85
33,64,34,123,130,118,53,76,124,68,69,112,58,73
140,60,27,52,108,38,15,12,89,128,46,41,42,92
113,127,40,80,110,20,33,32,70,48,117,67,20,46
65,3,70,48,39,111,133,51,4,65,44,55,92,58
42,58,30,3,81,89,108,54,77,15,113,102,73,102
99,23,53,132,118,98,87,8,74,113,45,75,13,66
68,67,16,131,33,34,116,123,117,56,98,49,35,59
93,96,120,87,32,23,70,50,105,41,4,68,79,61
128,31,71,15,104,50,32,45,7,85,89,79,30,48
15,34,94,88,24,43,54,19,140,38,33,60,31,90
22,24,72,117,105,78,80,88,83,116,55,64,72,83
117,122,124,32,6,83,59,138,3,36,125,115,23,36
85,61,130,97,18,28,85,68,134,33,72,126,119,107
48,41,3,85,4,92,13,117,42,4,95,93,124,19
97,139,1,99,91,110,63,15,133,94,90,120,27,129
32,94,99,14,43,62,68,65,27,136,87,23,128,35
14,140,140,76,96,73,128,85,66,5,37,47,83,79
132,131,63,59,137,77,139,70,23,24,52,89,97,123
24,48,136,41,77,122,14,120,99,132,40,56,17,139
3,76,121,74,135,104,48,79,55,1,129,97,102,44
96,129,54,8,12,81,121,3,20,59,136,11,139,80
