558,558,558,558,539,558,558,558,558,558,558,558,558,539,1130,558,558,221,249
442,539,539,539,249,273,957,539,957,957,442,273,417,250,30,934,934,1006,717
718,249,442,442,558,179,539,917,417,917,250,880,442,201,859,652,442,106,297
1158,442,250,250,122,249,917,442,250,442,417,43,250,1164,743,442,957,249,835
715,753,249,957,384,442,250,957,122,1106,917,355,744,934,841,250,539,537,472
122,250,179,744,108,250,934,250,1106,417,880,401,934,1135,1046,957,652,471,559
841,273,652,934,718,652,652,934,917,250,355,652,957,917,447,917,744,744,885
567,652,273,753,472,1158,987,1106,652,934,652,469,122,155,1128,744,917,622,833
108,1158,753,249,250,753,442,122,934,122,122,250,652,442,559,859,1128,406,919
957,122,122,652,442,957,744,652,159,779,744,442,355,558,208,1106,250,572,711
539,957,957,122,461,401,1106,744,744,652,957,249,469,1046,354,1128,1106,1096,192
905,179,1106,461,179,122,461,779,461,399,461,122,972,971,380,539,122,717,1050
652,717,1158,1106,934,718,122,461,228,744,905,679,461,1106,161,179,718,841,286
1106,309,401,273,1158,539,349,10,442,461,717,463,249,1168,652,273,1158,959,261
917,401,717,1158,652,1106,10,249,249,975,1158,1158,917,593,401,718,859,231,1096
502,1128,934,718,502,744,718,789,288,502,934,108,1106,905,485,249,179,104,140
179,744,388,179,1100,717,789,428,880,401,1106,937,309,791,729,461,249,502,279
461,388,459,309,811,1128,249,28,246,1167,27,957,880,717,908,1158,108,427,523
903,1106,736,401,835,736,11,11,1064,939,939,735,779,1147,504,401,273,718,236
1027,461,1128,717,368,27,1158,81,708,972,249,27,401,1062,1004,122,717,1168,294
250,459,917,736,231,461,401,502,1158,757,469,835,428,652,152,1167,905,620,427
428,934,461,917,272,459,502,742,502,497,1015,279,1158,122,1065,905,743,737,959
427,905,742,1128,885,1034,141,931,81,907,309,471,717,235,957,743,461,122,929
490,736,905,789,743,905,179,401,529,1158,757,948,273,957,1067,108,401,212,1053
1028,27,325,779,1053,531,81,1158,469,249,388,744,739,355,1080,717,502,1158,1116
744,718,309,428,736,502,931,1128,757,228,737,1034,905,1130,646,81,835,250,380
366,390,318,75,40,1121,181,971,137,784,273,757,907,1158,623,1067,428,410,729
736,471,718,471,279,388,736,273,399,234,739,939,757,343,410,374,1167,903,539
911,428,27,388,462,1064,1121,29,212,428,401,717,497,744,1084,742,489,117,946
717,917,531,905,559,743,1125,736,289,86,972,388,11,249,460,833,1067,428,562
946,1064,523,1121,717,324,428,75,1167,854,650,417,939,1055,232,489,297,934,818
40,1034,744,1034,854,108,28,1166,972,355,907,650,471,303,638,110,355,1106,501
56,343,1034,29,10,384,1064,190,27,81,854,461,388,963,239,167,742,182,892
435,1166,343,971,110,471,30,718,514,638,437,737,502,995,151,208,279,285,934
742,325,789,523,117,821,628,854,401,119,428,743,27,81,1034,1064,472,388,952
1064,531,524,27,742,28,114,234,428,537,1167,1064,1167,748,953,297,1064,549,45
835,75,680,233,598,309,514,753,234,347,1021,246,46,113,477,1034,110,349,462
1100,537,28,502,753,167,903,30,30,30,974,502,1034,461,470,355,374,624,463
190,622,390,325,388,318,231,524,1029,708,502,384,524,742,539,502,81,442,679
3,29,1064,821,905,789,783,900,1068,159,524,763,1015,388,29,279,1034,1100,710
223,344,971,343,428,735,963,974,347,246,1034,1019,670,973,170,1166,167,1102,250
748,233,428,410,531,1028,29,40,406,34,550,905,780,787,684,1159,27,1059,108
325,114,190,524,11,428,1072,349,973,973,322,480,246,490,711,325,29,514,514
272,324,384,28,959,742,1100,347,975,1166,1100,286,990,492,1137,27,318,90,601
344,821,114,742,1128,325,1029,598,309,364,497,428,233,428,657,286,388,95,5
1054,523,735,531,957,1100,753,114,821,1022,384,784,361,622,735,472,1168,928,480
1055,441,1166,1064,744,1166,779,208,1166,990,701,1030,410,1128,303,29,1166,835,573
117,783,783,1166,459,835,212,514,599,514,779,739,1068,179,637,428,343,817,821
549,318,324,783,537,934,235,987,471,309,110,972,1027,608,1033,623,349,917,575
273,854,344,275,549,29,1164,1072,346,670,286,1167,30,1004,507,835,623,524,68
1050,410,167,459,928,537,234,717,355,1134,181,927,523,36,318,735,748,193,917
406,351,351,1100,358,410,40,303,181,410,821,1028,1064,29,374,318,833,56,589
343,384,131,622,622,854,822,191,131,71,343,829,279,623,1102,388,854,343,703
523,502,537,114,789,524,341,380,670,263,69,181,1100,365,988,948,1130,759,815
94,385,471,537,680,687,843,1147,1022,377,937,331,343,643,167,351,325,558,56
419,131,821,11,27,343,75,325,273,303,81,951,784,489,68,1078,531,539,593
1053,1121,212,854,566,63,1055,27,990,905,537,942,247,537,31,1028,208,179,349
640,1161,1164,811,190,331,946,471,364,247,622,1015,368,649,948,1130,549,1164,905
110,822,441,190,903,279,855,843,1067,1164,32,385,811,406,608,559,286,824,841
84,171,29,748,406,952,27,368,524,288,1164,854,821,445,77,385,735,383,231
854,1100,279,167,28,1092,748,811,380,20,471,278,937,467,389,1168,885,130,764
786,524,701,46,924,783,409,275,902,181,927,993,263,710,334,821,990,201,790
789,952,40,318,401,622,360,109,648,676,263,524,748,568,959,763,1017,472,646
98,779,1121,1161,1092,231,900,34,235,524,523,952,1161,110,495,748,1159,1055,174
562,742,406,390,146,114,524,309,41,821,784,231,1136,1034,763,344,687,748,1100
971,167,410,384,1090,385,827,318,42,368,410,272,1021,401,443,52,1100,885,763
41,536,952,1027,390,463,273,748,232,1136,1027,900,34,46,299,34,701,461,502
388,28,480,34,171,917,347,46,784,840,480,670,815,1102,1088,549,56,52,859
637,971,927,765,620,931,406,1064,497,950,1161,822,948,885,270,1017,841,1027,652
687,181,748,30,324,523,34,1100,737,843,811,247,1166,737,1064,384,384,462,1128
465,212,368,1092,735,40,717,165,1055,704,748,990,288,97,163,637,231,1130,730
279,85,81,822,1164,181,742,235,409,984,361,1100,511,1087,919,974,1078,501,110
680,789,743,1078,514,974,1078,200,815,1068,246,410,650,843,833,480,622,401,545
28,406,75,247,584,927,598,390,710,471,670,63,1164,163,1159,687,1053,10,1059
501,30,110,1017,715,822,98,765,457,1034,46,622,974,422,818,523,1028,312,124
425,927,331,802,1034,679,459,531,946,1021,351,537,763,524,710,531,1102,489,672
205,63,46,191,772,351,971,343,34,952,822,1166,822,859,46,598,1027,255,272
973,735,163,368,825,900,1034,840,351,573,406,1059,110,759,422,952,1147,191,549
1112,1055,620,931,1055,480,457,410,660,815,1086,1068,854,273,797,40,929,578,400
593,1017,896,804,91,131,380,388,11,9,1140,211,542,297,147,929,40,217,4
1128,163,681,385,540,763,821,523,1004,273,1166,1053,351,300,409,701,759,591,117
