207,207,417,207,207,207,207,207,417,417,471,471,471,471,471,377,377,377,377,377,377,377,241,241,377,377,377,377,377,377,598
400,417,241,400,400,400,400,400,241,241,207,207,207,207,98,417,417,471,400,400,241,241,417,417,400,400,400,400,400,400,585
417,241,559,417,417,417,417,417,400,559,400,400,400,400,400,241,241,400,471,207,417,417,559,559,241,207,207,207,207,207,177
588,400,209,241,588,588,241,241,207,555,588,588,417,417,207,209,209,417,207,241,400,559,555,555,417,588,588,588,588,565,148
521,559,207,588,565,565,565,565,559,471,417,417,588,241,417,471,602,241,417,417,559,555,602,602,207,565,565,565,565,588,400
565,565,96,565,521,521,521,588,588,257,241,565,241,588,241,400,96,207,241,471,207,210,257,257,559,471,471,471,471,521,259
241,209,332,521,241,241,588,521,471,209,565,241,565,565,527,602,210,588,588,588,471,602,210,210,588,521,521,521,521,471,265
541,521,602,541,541,541,541,541,555,400,521,521,521,521,588,96,471,527,527,527,588,332,501,332,602,331,331,541,541,331,377
58,588,555,559,331,559,58,559,521,210,541,541,209,209,209,207,400,565,565,559,555,400,332,501,257,541,541,331,331,541,97
455,541,210,96,559,331,559,58,565,207,209,331,331,331,565,210,555,209,521,565,210,257,377,154,565,181,527,58,58,58,18
331,96,400,209,58,58,331,331,209,602,331,209,541,541,521,80,80,521,559,521,527,202,209,225,471,58,181,181,181,527,2
181,602,80,331,455,455,181,181,257,332,559,181,559,96,331,559,559,602,541,555,602,209,80,80,210,527,58,527,527,97,331
559,555,269,58,181,181,455,455,210,96,96,455,96,181,541,527,501,559,331,210,565,207,225,209,555,151,455,455,455,181,509
242,332,501,455,96,242,242,151,541,599,602,559,181,58,96,555,502,96,555,331,332,80,154,333,332,455,151,97,97,585,565
509,455,599,181,242,97,97,517,602,501,332,96,68,455,181,588,207,210,210,541,257,471,599,375,530,241,509,509,509,177,453
