210,821,210,210,210,210,791,791,791,791,210,791
1182,210,791,791,791,648,585,585,585,585,648,210
648,648,585,585,585,791,291,210,210,210,791,722
973,1182,722,722,722,585,210,291,291,722,585,648
585,585,648,648,648,722,648,648,648,648,722,585
722,722,1182,291,1182,291,722,722,722,291,291,291
791,791,973,1182,973,973,973,973,973,973,973,973
735,973,291,973,291,735,735,735,735,735,735,735
472,291,504,735,504,504,504,504,504,504,504,504
291,472,735,504,735,109,472,472,472,472,109,109
504,504,139,139,139,1182,109,109,109,109,139,139
1331,735,472,472,472,139,650,650,650,139,472,472
921,1331,1331,109,1331,472,1331,139,139,650,465,465
102,921,109,952,109,921,139,465,465,465,623,650
139,139,921,623,921,465,465,1331,1331,1331,650,1331
